e2e_latency,client_id,round
8.29963994026184,16,1
0.41753387451171875,16,2
0.40132737159729004,16,3
3.5480411052703857,16,4
2.1518099308013916,16,5
1.2622296810150146,16,6
0.42849016189575195,16,7
3.9682040214538574,16,8
0.577873945236206,16,9
0.4896571636199951,16,10
0.630643367767334,9,1
0.4405698776245117,9,2
11.935494184494019,9,3
1.3520572185516357,9,4
3.4014906883239746,9,5
0.4524674415588379,9,6
0.41620349884033203,9,7
3.4593703746795654,9,8
3.285186529159546,9,9
0.7795982360839844,9,10
0.6775016784667969,14,1
2.2328248023986816,14,2
2.2155327796936035,14,3
1.0602660179138184,14,4
5.9202964305877686,14,5
1.19584321975708,14,6
11.192059993743896,14,7
0.4817237854003906,14,8
2.2271111011505127,14,9
1.7610797882080078,14,10
1.7158501148223877,19,1
1.0020771026611328,19,2
3.2707314491271973,19,3
3.082548141479492,19,4
10.106443166732788,19,5
4.198834180831909,19,6
4.1358747482299805,19,7
1.2605822086334229,19,8
0.39379334449768066,19,9
0.6431775093078613,19,10
15.752052783966064,1,1
2.1522397994995117,1,2
0.4190216064453125,1,3
0.3981337547302246,1,4
6.993614673614502,1,5
1.2296712398529053,1,6
1.1672766208648682,1,7
1.6266045570373535,1,8
0.3959696292877197,1,9
0.6165719032287598,1,10
2.4602718353271484,26,1
4.588994741439819,26,2
2.1417572498321533,26,3
0.44859838485717773,26,4
1.2502472400665283,26,5
6.34476900100708,26,6
13.530205249786377,26,7
0.38361454010009766,26,8
0.49501705169677734,26,9
0.4057290554046631,26,10
0.6838977336883545,2,1
4.9535040855407715,2,2
0.500969409942627,2,3
0.38955187797546387,2,4
2.2994768619537354,2,5
12.356340885162354,2,6
5.132991552352905,2,7
1.7707288265228271,2,8
5.999721527099609,2,9
0.5050575733184814,2,10
1.973109245300293,6,1
8.108402967453003,6,2
1.802905559539795,6,3
3.267487049102783,6,4
0.38863086700439453,6,5
12.119232177734375,6,6
1.910628318786621,6,7
3.9225645065307617,6,8
0.6614573001861572,6,9
1.0763561725616455,6,10
3.2945892810821533,7,1
0.46523380279541016,7,2
0.40155816078186035,7,3
23.897892236709595,7,4
0.7484750747680664,7,5
0.5180327892303467,7,6
0.4298222064971924,7,7
2.9592807292938232,7,8
0.41486287117004395,7,9
2.04430890083313,7,10
9.299322843551636,24,1
1.881441593170166,24,2
5.117919683456421,24,3
1.201033353805542,24,4
0.5233960151672363,24,5
10.312209129333496,24,6
0.7404897212982178,24,7
3.0176053047180176,24,8
2.027672052383423,24,9
1.2265746593475342,24,10
2.73659086227417,10,1
16.233285427093506,10,2
0.4807450771331787,10,3
8.301668167114258,10,4
0.40253782272338867,10,5
6.586618661880493,10,6
2.246086359024048,10,7
0.4298853874206543,10,8
1.0094623565673828,10,9
0.4376230239868164,10,10
7.680333375930786,30,1
0.49703478813171387,30,2
4.548688888549805,30,3
4.535038709640503,30,4
7.879177093505859,30,5
0.38234949111938477,30,6
0.7378585338592529,30,7
5.918488502502441,30,8
5.858051776885986,30,9
1.896362066268921,30,10
1.3761627674102783,27,1
0.8625953197479248,27,2
1.0680088996887207,27,3
0.42722034454345703,27,4
3.5999743938446045,27,5
0.5293381214141846,27,6
1.1026639938354492,27,7
1.6515552997589111,27,8
25.16462516784668,27,9
4.541701078414917,27,10
10.118514776229858,20,1
4.45418906211853,20,2
0.4051845073699951,20,3
1.2432289123535156,20,4
2.946855306625366,20,5
7.3996970653533936,20,6
7.283442735671997,20,7
1.0516722202301025,20,8
5.39497447013855,20,9
1.0513150691986084,20,10
2.9583916664123535,28,1
1.9269931316375732,28,2
7.191111087799072,28,3
1.3377485275268555,28,4
5.246384620666504,28,5
2.446721076965332,28,6
3.137641191482544,28,7
12.15389633178711,28,8
1.4372990131378174,28,9
3.624335289001465,28,10
1.1057612895965576,29,1
1.9435696601867676,29,2
0.4063692092895508,29,3
9.225462436676025,29,4
0.4241678714752197,29,5
9.185007572174072,29,6
16.315319299697876,29,7
0.38675546646118164,29,8
0.39314889907836914,29,9
5.535707712173462,29,10
7.885807275772095,13,1
8.362242698669434,13,2
15.565340518951416,13,3
0.40436291694641113,13,4
0.5471072196960449,13,5
2.844167947769165,13,6
1.236593246459961,13,7
7.282200574874878,13,8
0.6191527843475342,13,9
0.38054347038269043,13,10
15.043889999389648,25,1
1.2227873802185059,25,2
1.2563610076904297,25,3
1.26155424118042,25,4
1.2921204566955566,25,5
1.2029030323028564,25,6
12.163427114486694,25,7
0.3821539878845215,25,8
0.8840365409851074,25,9
10.307551622390747,25,10
0.5144586563110352,0,1
17.7013521194458,0,2
9.554989576339722,0,3
4.357036828994751,0,4
3.616644859313965,0,5
1.172590732574463,0,6
5.359647989273071,0,7
1.2775816917419434,0,8
0.4108150005340576,0,9
1.984450340270996,0,10
7.594995498657227,3,1
17.081759452819824,3,2
1.4996016025543213,3,3
15.24754023551941,3,4
0.38271260261535645,3,5
1.2504539489746094,3,6
2.8402504920959473,3,7
0.3953425884246826,3,8
0.4202578067779541,3,9
1.2741730213165283,3,10
0.6971395015716553,12,1
6.878875255584717,12,2
3.6834304332733154,12,3
3.803762912750244,12,4
7.680680751800537,12,5
6.180238962173462,12,6
0.737241268157959,12,7
5.672248363494873,12,8
0.4171135425567627,12,9
11.666303396224976,12,10
5.625982761383057,18,1
5.655292749404907,18,2
5.708147764205933,18,3
15.756569862365723,18,4
0.7080783843994141,18,5
11.738168716430664,18,6
2.0155422687530518,18,7
0.37097930908203125,18,8
1.2083697319030762,18,9
0.40405917167663574,18,10
0.7622144222259521,8,1
5.28317666053772,8,2
18.674519062042236,8,3
2.759366989135742,8,4
9.979219198226929,8,5
0.4223670959472656,8,6
5.251416206359863,8,7
2.811624050140381,8,8
2.8942465782165527,8,9
0.40083765983581543,8,10
