timestamp,thread_id,txid,completion_time
1754292281.6789606,5,830801f1-30e1-458f-a6b6-f262901c843c,2025-08-04 07:24:41.%f
1754292281.8628619,8,30710a97-41d0-4fef-a19f-24c6a1c21a12,2025-08-04 07:24:41.%f
1754292282.1986265,7,35a4ebe8-45a7-400e-9106-86a75e733c61,2025-08-04 07:24:42.%f
1754292282.2544475,1,a4fdf0fa-0ec4-4c23-a0a6-e602e55600c3,2025-08-04 07:24:42.%f
1754292282.5495255,2,8fe7dac0-55de-46e9-be15-ed2ebad92589,2025-08-04 07:24:42.%f
1754292283.2295322,0,d2c6cfa0-0ca2-4d4e-b896-7fadd6d0e34f,2025-08-04 07:24:43.%f
1754292283.4218156,8,67dd3518-76a1-42e8-830c-a85f819b895d,2025-08-04 07:24:43.%f
1754292283.7748985,5,9709e6eb-e858-44ad-99f3-1ba06f99c9e9,2025-08-04 07:24:43.%f
1754292284.0498445,7,14feeceb-6757-4899-beac-acd2ad36ce57,2025-08-04 07:24:44.%f
1754292284.2686834,6,1cc34fc5-1d2b-413f-8f08-74def65fb7ee,2025-08-04 07:24:44.%f
1754292284.454653,1,ba9a6016-c014-4f2f-a738-015fda1c3b53,2025-08-04 07:24:44.%f
1754292284.5091949,4,5dc0440b-75d0-4fd1-8d06-ace7b5070610,2025-08-04 07:24:44.%f
1754292284.582274,3,46147cba-9874-44f7-805d-c9ed59f53c38,2025-08-04 07:24:44.%f
1754292284.6585488,2,1dd31952-e889-4104-a3dd-71faa697640d,2025-08-04 07:24:44.%f
1754292285.3296444,0,9073cd05-28e4-4cd2-bc64-9acd44704761,2025-08-04 07:24:45.%f
1754292285.652676,8,3a3295ac-4e11-465b-ad03-9f22880941a1,2025-08-04 07:24:45.%f
1754292286.1504989,5,33c8e7c7-b48c-4fca-bd66-c3c4aa928554,2025-08-04 07:24:46.%f
1754292286.4492264,7,0be125b8-43f7-4f78-ab3e-ea7ae6c562cd,2025-08-04 07:24:46.%f
1754292286.7052934,6,a993ceb5-d77b-4140-993a-201e1134b8d9,2025-08-04 07:24:46.%f
1754292287.0360365,1,dc1063c8-b4be-472c-8bf0-0bdea9aa3e65,2025-08-04 07:24:47.%f
1754292287.1912067,4,034e829b-4a06-4d34-ba13-7f28d6d68ebd,2025-08-04 07:24:47.%f
1754292287.3622227,2,b41a0bf5-8a63-420a-a20d-55d7b6dd4369,2025-08-04 07:24:47.%f
1754292287.3638604,3,1af63fbb-ba23-4e25-9345-fb47b66935bf,2025-08-04 07:24:47.%f
1754292288.2676783,0,277d4963-c639-4951-8321-940f0f99952a,2025-08-04 07:24:48.%f
1754292288.7105975,8,b93ead8f-11fa-4938-a95b-f8d7f1056e4d,2025-08-04 07:24:48.%f
1754292289.588137,5,ed00e11f-72b9-4206-a875-ac826681350a,2025-08-04 07:24:49.%f
1754292289.8458064,7,bdc7045d-51b7-4073-8046-0346ab7f4e4d,2025-08-04 07:24:49.%f
1754292290.1396737,6,80ef4a89-6032-4e84-bdba-6b49d0e63eb3,2025-08-04 07:24:50.%f
1754292290.5658004,1,76d00d75-3f7b-43f8-b566-65a4953a99e4,2025-08-04 07:24:50.%f
1754292290.8315628,4,84383f31-cc91-4f7e-b309-f0fa0acf8900,2025-08-04 07:24:50.%f
1754292291.0578582,2,37a3fc03-6f83-4b8b-81e0-dd58aa9ff38d,2025-08-04 07:24:51.%f
1754292291.0997646,3,276a9c09-719c-4b15-b97e-c32cf56a5532,2025-08-04 07:24:51.%f
1754292291.9416354,0,e1b8f977-297d-43d7-a274-54c9a0b6fb06,2025-08-04 07:24:51.%f
1754292292.4850855,8,b9d399cd-46ae-4d47-b1ff-2e1c2eef364a,2025-08-04 07:24:52.%f
1754292293.4416974,5,2da60dcf-a8c1-4fc2-add8-a0ea66079c11,2025-08-04 07:24:53.%f
1754292293.76715,7,eec7eb5a-437d-488c-89cb-27c8a651003b,2025-08-04 07:24:53.%f
1754292294.0909896,6,15bed0a4-231f-4784-a7fe-e586ac523bf7,2025-08-04 07:24:54.%f
1754292294.3984647,1,e5eb7bda-f143-4e37-b197-8f173ae416b6,2025-08-04 07:24:54.%f
1754292294.6594748,4,c1e7afba-38cd-48ea-b4a4-5176bc103a4b,2025-08-04 07:24:54.%f
1754292294.8452568,2,cdaa31ac-02b9-411f-87ea-1811986137cd,2025-08-04 07:24:54.%f
1754292294.9464405,3,f26e5e9a-d56f-4c26-8b98-a8829270d9d4,2025-08-04 07:24:54.%f
1754292295.7347686,0,94fefa14-3489-429d-9d90-00c1ef070fda,2025-08-04 07:24:55.%f
1754292296.5007527,8,6d586639-ccae-49bd-9d9f-497c49f22881,2025-08-04 07:24:56.%f
1754292297.6005306,5,dd48c6da-33a7-4442-b416-4db554914bb8,2025-08-04 07:24:57.%f
1754292297.9197261,7,ec6fe0da-0c24-4c1a-87e2-27c2ce52ca68,2025-08-04 07:24:57.%f
1754292298.3933232,6,4440124d-ef56-4ebf-9b3e-0050c2568012,2025-08-04 07:24:58.%f
1754292299.0355556,1,efd171d5-69e6-4142-8646-471b61b65fa6,2025-08-04 07:24:59.%f
1754292299.5077224,4,4125fd4c-8b51-403c-92f5-5a0f019e4530,2025-08-04 07:24:59.%f
1754292299.78573,2,27acc451-fb6a-411b-b3e9-bdb338527b9c,2025-08-04 07:24:59.%f
1754292299.9536188,3,d354b64d-96a5-4d34-8a84-0edeec7ab2fd,2025-08-04 07:24:59.%f
1754292301.0034163,0,7820d17d-5a99-4b8e-b3a7-2324f74687ec,2025-08-04 07:25:01.%f
1754292301.7384808,8,b2c5ee36-00ce-473d-ac0d-e28458a0d47f,2025-08-04 07:25:01.%f
1754292302.9861312,5,680d3dac-f2cd-41ec-8243-02614621f491,2025-08-04 07:25:02.%f
1754292303.35467,7,7ab963c9-7347-4b4f-8002-568bcfe38a6f,2025-08-04 07:25:03.%f
1754292303.9087968,6,07343ae0-775c-4681-a673-f1fbfad1bfe6,2025-08-04 07:25:03.%f
1754292304.5935948,1,daa9daf0-3269-4e3b-8503-975729dcbda8,2025-08-04 07:25:04.%f
1754292305.1058466,4,ac916a8d-634c-480f-a9c0-f863f2954bf6,2025-08-04 07:25:05.%f
1754292305.5016782,2,b1e53db4-8ed7-4807-b808-b54265c013af,2025-08-04 07:25:05.%f
1754292305.6845584,3,1c476ff7-0458-4711-8c71-bde81103682f,2025-08-04 07:25:05.%f
1754292306.9581735,0,e0406ac0-8e81-4f06-95ef-9e7a2721dffe,2025-08-04 07:25:06.%f
1754292307.7920592,8,48c5e8a3-27d7-48e3-8bad-44befab8f6e8,2025-08-04 07:25:07.%f
1754292308.963409,5,a7626afc-2cbc-484d-9004-73bc244bb8cc,2025-08-04 07:25:08.%f
1754292309.2939756,7,1cd6f70f-1ca7-4092-bad5-3c0e2f15930e,2025-08-04 07:25:09.%f
1754292309.775678,6,42d85117-4f95-4a24-a87f-155d8a3a4e2d,2025-08-04 07:25:09.%f
1754292310.5895102,1,87879673-f3ca-4fa7-b6a1-9422d0d92ffb,2025-08-04 07:25:10.%f
1754292311.1130056,4,e69b036a-d553-4855-a4c4-9e1dd0bc9f72,2025-08-04 07:25:11.%f
1754292311.6032448,2,5afe8a00-1f03-492f-bf78-a7e159400ccc,2025-08-04 07:25:11.%f
1754292311.7919903,3,00675a19-9b6f-4986-a4b7-b20a31d57a7f,2025-08-04 07:25:11.%f
1754292313.3329196,0,3b35262b-c5a4-485c-b94f-264b08696899,2025-08-04 07:25:13.%f
1754292313.9889832,8,baa040c6-eaa7-4102-8a26-901ba20aa394,2025-08-04 07:25:13.%f
1754292315.8095827,5,d079725e-6420-4aeb-9488-5fb2e5b71771,2025-08-04 07:25:15.%f
1754292316.322158,7,8c7d6775-f433-4060-badc-a27ee65d5d75,2025-08-04 07:25:16.%f
1754292316.8069553,6,b4ed6cb1-2a1a-40c1-a0b4-9f2dc13cbad3,2025-08-04 07:25:16.%f
1754292317.788662,1,13c52a04-de50-4a9f-b0b7-cd631b46d82a,2025-08-04 07:25:17.%f
1754292318.3534727,4,1425a1e7-b306-41fb-9aaa-ca5b7aeb98fa,2025-08-04 07:25:18.%f
1754292318.6385932,2,010c150a-f778-40d9-b39a-e674f83d6c40,2025-08-04 07:25:18.%f
1754292318.8680747,3,eb15d421-f11b-4167-90fd-22556c095b1c,2025-08-04 07:25:18.%f
1754292320.2268555,0,d9093cbb-6bb3-47e7-b225-1496981f2d99,2025-08-04 07:25:20.%f
1754292320.9480162,8,d8ebb3b6-de0a-4e7c-aec6-a9ce3a114a30,2025-08-04 07:25:20.%f
1754292322.5228112,5,08adeddb-769c-4254-8323-d0de63cae113,2025-08-04 07:25:22.%f
