workflow,mode,validator_overhead,overall_validate_latency,e2e_latency,workflow_run_latency
banking_system,OPTIMISTIC_fast-path,0.005231834340978552,0.15195482704374524,0.6502417272991604,0.463297708829244
travel_reservation,OPTIMISTIC_fast-path,0.0052582331875849035,0.2601347778762519,0.849195019159903,0.5490579635071355
social_network,OPTIMISTIC_fast-path,0.006004705429077149,0.21118131995201112,0.9893384292721749,0.7480791699886322
